Senator1,Senator2,weight
15408,42302,136
15408,42303,72
15408,42304,93
15408,42305,372
15408,42306,64
15408,49300,121
15408,49308,609
15408,49703,433
15408,90915,66
15408,91300,534
20101,20146,560
20101,20330,140
20101,20351,554
20101,20707,143
20101,20713,146
20101,20735,158
20101,20750,135
20101,20919,533
20101,20923,166
20101,20930,152
20101,20932,154
20101,20953,547
20101,21133,548
20101,21166,589
20101,21173,461
20101,21301,596
20101,21325,155
20101,21338,549
20101,21350,524
20101,21355,572
20101,21708,581
20101,21734,518
20101,21743,175
20101,29142,158
20101,29147,124
20101,29345,541
20101,29373,135
20101,29389,166
20101,29534,586
20101,29566,432
20101,29722,549
20101,29732,153
20101,29754,602
20101,29940,151
20101,39310,149
20101,40300,352
20101,40305,575
20101,40700,162
20101,40702,174
20101,40703,162
20101,40704,154
20101,40707,514
20101,40902,533
20101,40906,159
20101,40908,134
20101,40909,154
20101,40910,160
20101,40915,206
20101,40916,151
20101,41101,157
20101,41102,529
20101,41104,496
20101,41107,563
20101,41110,502
20101,41111,559
20101,41112,161
20101,41300,165
20101,41301,131
20101,41302,609
20101,41304,536
20101,41305,152
20101,41308,140
20101,41500,538
20101,41502,572
20101,41504,474
20101,41505,528
20101,41700,154
20101,41702,166
20101,41703,526
20101,41706,149
20101,41707,595
20101,41900,473
20101,41901,489
20101,41902,500
20101,41903,515
20101,41905,156
20101,42100,520
20101,42101,166
20101,42102,514
20101,42103,161
20101,42104,155
20101,42105,144
20101,42300,570
20101,42301,139
20101,42302,574
20101,42303,532
20101,42304,442
20101,42305,96
20101,42306,4
20101,49300,29
20101,49308,155
20101,49703,355
20101,90915,21
20101,91300,183
20146,20330,194
20146,20351,498
20146,20707,198
20146,20713,201
20146,20735,207
20146,20750,185
20146,20919,525
20146,20923,213
20146,20930,201
20146,20932,199
20146,20953,510
20146,21133,550
20146,21166,533
20146,21173,399
20146,21301,518
20146,21325,204
20146,21338,504
20146,21350,512
20146,21355,522
20146,21708,509
20146,21734,468
20146,21743,224
20146,29142,207
20146,29147,160
20146,29345,501
20146,29373,181
20146,29389,217
20146,29534,562
20146,29566,440
20146,29722,534
20146,29732,206
20146,29754,562
20146,29940,205
20146,39310,202
20146,40300,400
20146,40305,575
20146,40700,209
20146,40702,226
20146,40703,208
20146,40704,201
20146,40707,473
20146,40902,494
20146,40906,202
20146,40908,184
20146,40909,204
20146,40910,207
20146,40915,265
20146,40916,196
20146,41101,205
20146,41102,470
20146,41104,440
20146,41107,517
20146,41110,444
20146,41111,507
20146,41112,204
20146,41300,210
20146,41301,183
20146,41302,551
20146,41304,478
20146,41305,200
20146,41308,192
20146,41500,494
20146,41502,526
20146,41504,481
20146,41505,539
20146,41700,219
20146,41702,211
20146,41703,510
20146,41706,202
20146,41707,545
20146,41900,420
20146,41901,431
20146,41902,513
20146,41903,460
20146,41905,199
20146,42100,472
20146,42101,212
20146,42102,451
20146,42103,209
20146,42104,205
20146,42105,210
20146,42300,497
20146,42301,169
20146,42302,532
20146,42303,470
20146,42304,405
20146,42305,124
20146,42306,11
20146,49300,41
20146,49308,208
20146,49703,402
20146,90915,29
20146,91300,227
20330,20351,90
20330,20707,617
20330,20713,624
20330,20735,604
20330,20750,609
20330,20919,186
20330,20923,603
20330,20930,614
20330,20932,610
20330,20953,113
20330,21133,214
20330,21166,129
20330,21173,54
20330,21301,114
20330,21325,611
20330,21338,128
20330,21350,157
20330,21355,123
20330,21708,111
20330,21734,96
20330,21743,596
20330,29142,615
20330,29147,526
20330,29345,118
20330,29373,484
20330,29389,599
20330,29534,164
20330,29566,310
20330,29722,171
20330,29732,594
20330,29754,139
20330,29940,615
20330,39310,615
20330,40300,399
20330,40305,167
20330,40700,599
20330,40702,601
20330,40703,592
20330,40704,603
20330,40707,102
20330,40902,105
20330,40906,589
20330,40908,595
20330,40909,599
20330,40910,604
20330,40915,395
20330,40916,592
20330,41101,611
20330,41102,122
20330,41104,78
20330,41107,130
20330,41110,73
20330,41111,96
20330,41112,607
20330,41300,594
20330,41301,610
20330,41302,124
20330,41304,90
20330,41305,613
20330,41308,584
20330,41500,114
20330,41502,148
20330,41504,223
20330,41505,235
20330,41700,607
20330,41702,603
20330,41703,163
20330,41706,604
20330,41707,134
20330,41900,91
20330,41901,87
20330,41902,228
20330,41903,69
20330,41905,584
20330,42100,112
20330,42101,593
20330,42102,74
20330,42103,601
20330,42104,585
20330,42105,598
20330,42300,96
20330,42301,507
20330,42302,129
20330,42303,69
20330,42304,100
20330,42305,357
20330,42306,54
20330,49300,125
20330,49308,609
20330,49703,430
20330,90915,84
20330,91300,551
20351,20707,85
20351,20713,88
20351,20735,93
20351,20750,78
20351,20919,507
20351,20923,95
20351,20930,88
20351,20932,84
20351,20953,549
20351,21133,473
20351,21166,549
20351,21173,463
20351,21301,535
20351,21325,85
20351,21338,551
20351,21350,481
20351,21355,530
20351,21708,566
20351,21734,548
20351,21743,104
20351,29142,88
20351,29147,94
20351,29345,527
20351,29373,87
20351,29389,104
20351,29534,515
20351,29566,357
20351,29722,481
20351,29732,85
20351,29754,551
20351,29940,91
20351,39310,88
20351,40300,282
20351,40305,523
20351,40700,93
20351,40702,130
20351,40703,92
20351,40704,86
20351,40707,499
20351,40902,522
20351,40906,89
20351,40908,85
20351,40909,85
20351,40910,95
20351,40915,164
20351,40916,94
20351,41101,89
20351,41102,544
20351,41104,531
20351,41107,534
20351,41110,524
20351,41111,576
20351,41112,93
20351,41300,96
20351,41301,79
20351,41302,566
20351,41304,533
20351,41305,84
20351,41308,83
20351,41500,512
20351,41502,537
20351,41504,402
20351,41505,445
20351,41700,99
20351,41702,94
20351,41703,490
20351,41706,85
20351,41707,542
20351,41900,515
20351,41901,540
20351,41902,442
20351,41903,539
20351,41905,89
20351,42100,557
20351,42101,97
20351,42102,560
20351,42103,93
20351,42104,94
20351,42105,94
20351,42300,548
20351,42301,100
20351,42302,534
20351,42303,571
20351,42304,498
20351,42305,55
20351,42306,2
20351,49300,23
20351,49308,92
20351,49703,274
20351,90915,25
20351,91300,127
20707,20713,634
20707,20735,624
20707,20750,629
20707,20919,178
20707,20923,623
20707,20930,628
20707,20932,630
20707,20953,115
20707,21133,218
20707,21166,135
20707,21173,60
20707,21301,121
20707,21325,627
20707,21338,117
20707,21350,157
20707,21355,128
20707,21708,118
20707,21734,96
20707,21743,616
20707,29142,631
20707,29147,531
20707,29345,124
20707,29373,479
20707,29389,616
20707,29534,164
20707,29566,314
20707,29722,175
20707,29732,612
20707,29754,145
20707,29940,629
20707,39310,627
20707,40300,403
20707,40305,171
20707,40700,619
20707,40702,583
20707,40703,612
20707,40704,618
20707,40707,101
20707,40902,116
20707,40906,608
20707,40908,605
20707,40909,611
20707,40910,624
20707,40915,397
20707,40916,606
20707,41101,631
20707,41102,116
20707,41104,84
20707,41107,134
20707,41110,73
20707,41111,94
20707,41112,624
20707,41300,616
20707,41301,618
20707,41302,128
20707,41304,97
20707,41305,623
20707,41308,599
20707,41500,119
20707,41502,137
20707,41504,227
20707,41505,234
20707,41700,626
20707,41702,625
20707,41703,158
20707,41706,622
20707,41707,137
20707,41900,80
20707,41901,74
20707,41902,214
20707,41903,72
20707,41905,602
20707,42100,96
20707,42101,613
20707,42102,69
20707,42103,621
20707,42104,601
20707,42105,615
20707,42300,100
20707,42301,497
20707,42302,135
20707,42303,70
20707,42304,87
20707,42305,374
20707,42306,70
20707,49300,121
20707,49308,627
20707,49703,434
20707,90915,69
20707,91300,536
20713,20735,625
20713,20750,626
20713,20919,173
20713,20923,622
20713,20930,631
20713,20932,627
20713,20953,120
20713,21133,218
20713,21166,135
20713,21173,62
20713,21301,122
20713,21325,626
20713,21338,119
20713,21350,162
20713,21355,129
20713,21708,117
20713,21734,95
20713,21743,615
20713,29142,634
20713,29147,538
20713,29345,124
20713,29373,486
20713,29389,622
20713,29534,169
20713,29566,312
20713,29722,179
20713,29732,613
20713,29754,146
20713,29940,632
20713,39310,634
20713,40300,410
20713,40305,174
20713,40700,618
20713,40702,590
20713,40703,609
20713,40704,620
20713,40707,106
20713,40902,112
20713,40906,606
20713,40908,612
20713,40909,610
20713,40910,621
20713,40915,397
20713,40916,603
20713,41101,632
20713,41102,112
20713,41104,83
20713,41107,138
20713,41110,73
20713,41111,99
20713,41112,626
